player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Lauri Markkanen,UTH,23663,ast,24.5,-108,-112,fd,,F,23,,,,closed,,,156,,3322,24.5,-109,-120,24.5,-120,12,2023-10-28 07:11:46,0,0,131,131,3,1,20,32,2,4,20.8,0.71943233106029,0.36178262664983474,5,-3.7,16,113.4,,
Obi Toppin,IND,23660,ast,11.5,-105,-115,fd,,F,1,,,,closed,,,156,,5091,10.5,-115,-115,11.5,100,12,2023-10-28 16:12:20,1,1,110,110,3,2,43,38,1,7,8.0,0.74775109504706,0.3979694385662427,5,-3.5,7,109.4,,
Desmond Bane,MEM,23659,ast,25.5,-118,-104,fd,,G,22,,,,closed,,,156,,5269,25.5,-120,-108,25.5,-115,12,2023-10-28 03:12:35,4,4,141,141,1,3,18,22,2,0,22.1,0.70183661297074,0.37667951005798994,5,-3.4,30,123.0,,
Tyrese Maxey,PHI,23661,ast,24.5,-110,-110,fd,,G,0,,,,closed,,,156,,5146,24.5,-110,-115,24.5,-110,12,2023-10-28 05:11:41,4,4,103,103,3,2,43,33,4,2,21.3,0.69466233359326,0.3261735459507691,5,-3.2,25,118.8,,
Evan Mobley,CLE,23660,ast,19.5,-110,-110,fd,,F,4,,,,closed,,,156,,5316,19.5,-115,-113,15.5,100,12,2023-10-28 07:11:49,1,1,110,110,2,3,16,45,1,6,16.8,0.69900571045704,0.3344654472361672,5,-2.7,26,119.0,,
Nikola Vucevic,CHI,23658,ast,15.5,-115,-105,fd,,C,9,,,,closed,,,156,,2373,14.5,-130,100,14.5,-130,12,2023-10-28 15:12:44,0,0,114,114,4,0,50,27,5,2,18.1,0.63774723103479,0.19231004063025958,4,2.6,27,119.0,,
Walker Kessler,UTH,23663,ast,7.5,-134,110,fd,,C,24,,,,closed,,,156,,5537,8.5,102,-135,8.5,100,12,2023-10-28 07:11:46,0,0,131,131,1,4,18,29,1,1,10.1,0.62271846481312,0.08743373706171703,3,2.6,16,113.4,,
Jordan Poole,WAS,23659,ast,24.5,-102,-120,fd,,G,13,,,,closed,,,156,,4514,23.5,-130,100,22.5,-105,12,2023-10-28 03:12:36,4,4,141,141,3,2,20,55,2,4,22.0,0.59549599390674,0.09174265549569005,3,-2.5,12,112.8,,
Kelly Oubre,PHI,23661,ast,14.5,-105,-115,fd,,F,9,,,,closed,,,156,,3030,14.5,-110,-119,14.5,-115,13,2023-10-28 16:12:50,4,4,103,103,3,2,37,29,3,1,12.0,0.70096103036069,0.31049236110911616,5,-2.5,25,118.8,,
Marcus Smart,MEM,23659,ast,15.5,-110,-110,fd,,G,36,,,,closed,,,156,,2901,15.5,-115,-115,15.5,-115,12,2023-10-28 03:12:35,4,4,141,141,2,2,7,9,0,4,13.1,0.67877532786508,0.29584380774242547,5,-2.4,30,123.0,,
Kyle Kuzma,WAS,23659,ast,20.5,-104,-118,fd,,F,33,,,,closed,,,156,,3358,20.5,-110,-120,20.5,-105,12,2023-10-28 03:12:35,4,4,141,141,2,3,44,25,2,2,18.1,0.66211835285617,0.22323560103936502,5,-2.4,12,112.8,,
Quentin Grimes,NYK,23657,ast,7.5,-105,-115,fd,,G,5,,,,closed,,,156,,5336,7.5,-113,-115,7.5,-115,12,2023-10-28 04:12:21,0,0,173,173,1,2,13,21,1,1,9.7,0.64371964946929,0.2567859822971851,5,2.2,8,110.3,,
Jakob Poeltl,TOR,23661,ast,8.5,-118,-104,fd,,C,19,,,,closed,,,156,,3172,8.5,-118,-104,8.5,105,12,2023-10-28 05:11:42,4,4,103,103,4,1,33,16,5,1,10.7,0.68570109029411,0.26680370918742347,5,2.2,10,111.2,,
Karl-Anthony Towns,MIN,23662,ast,21.5,-110,-110,fd,,C,32,,,,closed,,,156,,3012,21.5,-125,-105,21.5,-105,12,2023-10-28 05:11:43,0,0,60,60,2,3,34,40,1,2,19.4,0.65440746591417,0.24932334401796086,5,-2.1,4,108.1,,
Ausar Thompson,DET,23658,pts,2.5,-160,130,fd,,F,9,,,,closed,,,151,,5979,2.5,-160,125,2.5,-148,10,2023-10-28 06:11:31,1,1,48,48,2,3,16,22,1,1,4.5,0.82642192908996,0.34293563477118505,5,2.0,23,27.9,,
Isaiah Stewart,DET,23658,ast,10.5,-128,104,fd,,F,28,,,,closed,,,156,,5144,10.5,-130,100,11.5,-104,10,2023-10-28 06:11:30,0,0,114,114,3,2,26,18,3,1,12.5,0.63074649684881,0.12351719751194284,4,2.0,17,113.7,,
Scottie Barnes,TOR,23661,ast,16.5,-120,-102,fd,,F,4,,,,closed,,,156,,5318,16.5,-115,-110,16.5,-110,12,2023-10-28 05:11:40,4,4,103,103,4,1,43,17,3,4,14.5,0.66402107242485,0.31502212382176165,5,-2.0,10,111.2,,
Julius Randle,NYK,23657,pra,7.5,-140,114,fd,,F,30,,,,closed,,,157,,2852,7.5,-145,110,7.5,-115,12,2023-10-28 04:12:20,2,2,96,96,4,1,30,16,1,1,9.5,0.73133681821616,0.2537202597991315,5,2.0,7,42.3,,
Ausar Thompson,DET,23658,ast,9.5,-108,-112,fd,,F,9,,,,closed,,,156,,5979,9.5,-115,-115,9.5,-115,10,2023-10-28 06:11:31,0,0,114,114,2,3,18,22,1,2,11.4,0.6330331110013,0.2191748804469481,5,1.9,17,113.7,,
Pascal Siakam,TOR,23661,ast,22.5,-104,-118,fd,,F,43,,,,closed,,,156,,3219,22.5,-110,-118,22.5,-105,12,2023-10-28 05:11:42,4,4,103,103,2,3,39,58,4,4,20.6,0.62989849063219,0.16371077082896102,4,-1.9,10,111.2,,
