player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Michael Porter,DEN,23664,ast,14.5,-110,-110,fd,,F,1,,,,closed,,,156,,3471,14.5,-120,-106,14.5,-125,12,2023-10-28 21:12:39,0,0,101,101,1,4,48,41,3,2,17.9,0.67988723840756,0.2979665460507964,5,3.4,9,110.7,,
Jalen Johnson,ATL,23665,ast,12.5,104,-128,fd,,F,1,,,,closed,,,156,,5353,11.5,-120,-110,10.5,-125,12,2023-10-29 16:12:12,0,0,156,156,3,2,39,14,1,0,9.1,0.7007711909711,0.24824868391727184,5,-3.4,21,116.1,,
Dillon Brooks,HOU,23666,ast,11.5,-106,-114,fd,,G,9,,,,closed,,,156,,3352,11.5,-106,-121,11.5,-105,12,2023-10-28 22:12:28,0,0,130,130,3,2,38,33,5,2,14.8,0.69750565793648,0.35552986353693283,5,3.3,19,115.2,,
Bogdan Bogdanovic,ATL,23665,ast,10.5,-105,-115,fd,,G,13,,,,closed,,,156,,2902,10.5,-108,-120,10.5,-105,12,2023-10-29 16:12:11,0,0,156,156,3,0,66,9,4,0,13.6,0.68335812602835,0.33417538891249277,5,3.1,21,116.1,,
Andrew Wiggins,GSW,23666,ast,14.5,-106,-114,fd,,F,22,,,,closed,,,156,,2945,14.5,-115,-114,16.5,-114,10,2023-10-29 17:12:07,0,0,130,130,4,1,25,40,2,3,17.5,0.66101165895959,0.2846075636384485,5,3.0,14,113.2,,
Shaedon Sharpe,POR,23667,ast,20.5,100,-122,fd,,G,17,,,,closed,,,156,,5527,19.5,-110,-115,20.5,-104,10,2023-10-29 04:11:36,2,2,104,104,0,3,7,19,1,1,17.5,0.64766935763563,0.17854588028778584,4,-3.0,10,111.2,,
D'Angelo Russell,LAL,23668,ast,14.5,-112,-108,fd,,G,1,,,,closed,,,156,,3013,14.5,-110,-120,14.5,-110,12,2023-10-28 23:12:22,5,5,90,90,2,3,43,28,3,3,17.3,0.64563392091813,0.22209277888074608,5,2.8,18,114.5,,
Aaron Gordon,DEN,23664,ast,13.5,-120,-102,fd,,F,32,,,,closed,,,156,,2850,13.5,-120,-103,13.5,-125,12,2023-10-28 21:12:37,0,0,101,101,2,3,48,35,5,1,16.1,0.65518423285484,0.20117109356720664,5,2.6,9,110.7,,
Gabe Vincent,LAL,23668,ast,7.5,-118,-104,fd,,G,7,,,,closed,,,156,,3635,7.5,-115,-115,6.5,-111,10,2023-10-29 08:11:46,5,5,90,90,0,4,2,9,1,2,10.1,0.67537611121633,0.2477287478403385,5,2.6,18,114.5,,
Malik Beasley,MIL,23665,ast,10.5,-106,-114,fd,,G,5,,,,closed,,,156,,3185,10.5,-120,-114,10.5,-115,12,2023-10-28 21:12:43,0,0,156,156,1,3,37,46,3,2,13.0,0.63628763056002,0.2365589801449446,5,2.5,29,120.6,,
Jerami Grant,POR,23667,ast,17.5,-110,-110,fd,,F,9,,,,closed,,,156,,2868,17.5,-115,-115,17.5,-113,10,2023-10-29 04:11:33,2,2,104,104,2,3,34,20,3,1,19.8,0.63078322544051,0.2042225212955191,5,2.3,10,111.2,,
Bobby Portis,MIL,23665,ast,10.5,104,-128,fd,,F,9,,,,closed,,,156,,3027,10.5,100,-128,10.5,100,12,2023-10-29 16:12:12,0,0,156,156,4,1,56,24,5,1,12.7,0.63716727250773,0.29982123591576915,5,2.2,29,120.6,,
Stephen Curry,GSW,23666,ast,30.5,100,-122,fd,,G,30,,,,closed,,,156,,2135,30.5,-105,-125,30.5,-111,10,2023-10-29 16:11:41,0,0,130,130,1,4,23,52,2,4,28.3,0.60970677752216,0.10946643122884847,4,-2.2,14,113.2,,
Kelly Oubre,PHI,23667,ast,14.5,-115,-105,fd,,F,9,,,,closed,,,156,,3030,14.5,-119,-110,14.5,-112,10,2023-10-29 23:12:15,2,2,104,104,3,2,37,29,3,1,12.3,0.68739579640468,0.34205845964723225,5,-2.2,20,115.4,,
Klay Thompson,GSW,23666,ast,18.5,-114,-106,fd,,G,31,,,,closed,,,156,,2142,18.5,-130,100,21.5,-108,10,2023-10-29 17:12:07,0,0,130,130,4,1,34,44,6,0,20.6,0.6243333020123,0.17199409325115955,4,2.1,14,113.2,,
Kentavious Caldwell-Pope,DEN,23664,ast,10.5,-105,-115,fd,,G,3,,,,closed,,,156,,2802,10.5,-110,-115,10.5,-110,12,2023-10-28 21:12:38,0,0,101,101,2,3,35,50,4,2,12.5,0.62351819552283,0.21734504840171576,5,2.0,9,110.7,,
Scoot Henderson,POR,23667,ast,13.5,100,-122,fd,,G,0,,,,closed,,,156,,5446,13.5,-103,-125,14.5,-111,10,2023-10-29 04:11:34,2,2,104,104,5,0,27,21,1,1,15.5,0.61246175014124,0.2249235002824801,5,2.0,10,111.2,,
Harrison Barnes,SAC,23668,ast,13.5,-106,-114,fd,,F,40,,,,closed,,,156,,2765,12.5,-125,-105,12.5,100,12,2023-10-28 23:12:21,5,5,90,90,4,1,31,48,5,2,15.5,0.66660809211233,0.29548365070886773,5,2.0,22,116.8,,
Domantas Sabonis,SAC,23668,ast,18.5,-114,-106,fd,,F,11,,,,closed,,,156,,3176,18.5,-114,-115,18.5,-110,12,2023-10-28 23:12:22,5,5,90,90,2,3,40,42,3,3,20.5,0.59909010504369,0.12460774104692673,4,2.0,22,116.8,,
Tre Jones,SAS,23669,ast,8.5,-105,-115,fd,,G,33,,,,closed,,,156,,5093,8.5,-105,-125,8.5,-105,12,2023-10-29 16:12:15,0,0,139,139,4,1,36,24,1,4,10.5,0.64547953924402,0.2602219575716581,5,2.0,11,112.0,,
