player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Jabari Smith,HOU,23651,ast,12.5,-124,102,fd,,F,10,,,,closed,,,156,,5482,13.5,-115,-111,13.5,-110,12,2023-10-26 22:12:35,3,3,160,160,2,3,40,34,2,6,16.5,0.67107240522197,0.2122598287880748,5,4.0,24,118.6,,
Zach LaVine,CHI,23652,ast,23.5,-106,-114,fd,,G,8,,,,closed,,,156,,2912,23.5,-115,-114,23.5,-108,10,2023-10-27 01:11:49,0,0,189,189,2,3,7,17,3,3,19.9,0.72304217500035,0.3572896969304814,5,-3.6,25,118.8,,
Mikal Bridges,BKN,23653,ast,26.5,-102,-120,fd,,F,25,,,,closed,,,156,,3474,26.5,-105,-125,24.5,-120,12,2023-10-26 23:12:39,1,1,87,87,0,5,12,69,1,4,22.9,0.70741729301388,0.2969317038587801,5,-3.6,13,113.0,,
Trae Young,ATL,23648,ast,27.5,100,-122,fd,,G,11,,,,closed,,,156,,3473,27.5,-108,-127,27.5,-110,12,2023-10-26 21:11:58,1,1,237,237,0,3,23,30,0,6,24.0,0.70232286440845,0.27799734343176974,5,-3.5,5,108.7,,
Shaedon Sharpe,POR,23655,ast,20.5,-105,-115,fd,,G,17,,,,closed,,,156,,5527,20.5,-110,-120,13.5,-125,12,2023-10-27 15:12:41,0,0,154,154,0,3,6,20,1,1,17.0,0.61539919716829,0.15052893383636812,4,-3.5,2,107.4,,
Bones Hyland,LAC,23654,ast,8.5,-112,-108,fd,,G,5,,,,closed,,,156,,5350,8.5,-115,-115,8.5,-105,12,2023-10-27 17:12:48,1,1,131,131,1,0,5,4,2,0,11.7,0.71655205878631,0.3563306827026582,5,3.2,28,120.5,,
Deandre Ayton,POR,23655,ast,14.5,-106,-114,fd,,C,2,,,,closed,,,156,,3464,14.5,-106,-125,13.5,-113,10,2023-10-27 00:11:47,0,0,154,154,4,1,32,22,2,2,17.7,0.68208163358085,0.32555487280806705,5,3.2,2,107.4,,
Jaylen Brown,BOS,23649,ast,20.5,-112,-108,fd,,G,7,,,,closed,,,156,,3170,20.5,-112,-115,19.5,-120,12,2023-10-26 21:12:02,1,1,134,134,4,1,57,31,10,8,23.6,0.65524369712977,0.24028271242420762,5,3.1,4,108.1,,
Desmond Bane,MEM,23646,ast,25.5,100,-122,fd,,G,22,,,,closed,,,156,,5269,25.5,-110,-123,24.5,-105,12,2023-10-26 20:12:00,0,0,72,72,1,3,18,22,0,5,22.5,0.69327923452299,0.2615409021647851,5,-3.0,6,108.8,,
Moritz Wagner,ORL,23655,ast,6.5,-114,-106,fd,,F,21,,,,closed,,,156,,3550,6.5,-114,-115,6.5,-105,12,2023-10-27 18:13:20,0,0,154,154,2,3,50,17,3,0,9.5,0.7344824248393,0.37876525364570357,5,3.0,20,115.4,,
Malaki Branham,SAS,23651,ast,7.5,-106,-114,fd,,G,22,,,,closed,,,156,,5510,7.5,-115,-114,7.5,-110,12,2023-10-27 17:12:46,3,3,160,160,4,1,26,13,1,1,10.3,0.70095877665287,0.36224064141972845,5,2.8,14,113.2,,
John Collins,UTH,23654,ast,11.5,-102,-120,fd,,F,20,,,,closed,,,156,,3330,11.5,-110,-120,11.5,-109,13,2023-10-27 00:12:25,1,1,131,131,5,0,48,15,3,0,14.3,0.68169352508733,0.3500205104670654,5,2.8,11,112.0,,
