player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Josh Okogie,PHO,23631,3pm,0.5,-135,105,dk,,G,2,,,,closed,,,162,,3511,0.5,-135,100,0.5,-130,12,2023-10-24 20:12:34,2,2,45,45,0,0,7,7,3,0,0.9,0.5934303402594,0.03300837008117774,3,0.4,22,13.3,,
Moses Moody,GSW,23631,3pm,0.5,-125,-105,dk,,G,4,,,,closed,,,162,,5352,0.5,-125,-105,0.5,-130,12,2023-10-24 21:13:06,2,2,45,45,4,0,19,5,2,1,0.9,0.5934303402594,0.06817461246692003,3,0.4,18,13.1,,
Christian Braun,DEN,23630,pts,1.5,195,-255,dk,,G,0,,,,closed,,,151,,5464,1.5,185,-250,0.5,-220,12,2023-10-24 17:12:58,0,0,59,59,2,3,24,41,2,5,1.2,0.66262726620684,-0.07751890390812471,2,-0.3,26,28.2,,
Gary Payton,GSW,23631,pts,1.5,135,-175,dk,,G,0,,,,closed,,,151,,3299,1.5,135,-175,1.5,140,12,2023-10-24 21:13:05,3,3,55,55,1,4,8,19,1,0,1.2,0.66262726620684,0.041271418325034226,3,-0.3,12,26.2,,
Grayson Allen,PHO,23631,pts,1.5,130,-165,dk,,G,8,,,,closed,,,151,,3520,1.5,130,-165,1.5,150,12,2023-10-24 20:12:34,3,3,55,55,2,3,55,17,5,0,1.8,0.53716311297956,0.23547515985298795,5,0.3,18,26.7,,
Nikola Jokic,DEN,23630,reb,0.5,-185,145,dk,,C,15,,,,closed,,,152,,2918,0.5,-180,135,0.5,-185,12,2023-10-20 22:11:50,0,0,12,12,4,1,51,40,8,8,0.8,0.55067103588278,-0.1516689447211227,1,0.3,7,4.6,,
Stephen Curry,GSW,23631,reb,0.5,175,-230,dk,,G,30,,,,closed,,,152,,2135,0.5,185,-245,0.5,190,12,2023-10-20 23:12:02,0,0,10,10,3,2,23,51,1,6,0.2,0.81873075307798,0.17470064572058003,4,-0.3,4,4.5,,
Chris Paul,GSW,23631,reb,0.5,285,-390,dk,,G,3,,,,closed,,,152,,2307,0.5,270,-380,0.5,280,12,2023-10-20 23:12:04,0,0,10,10,1,3,5,37,0,3,0.2,0.81873075307798,0.028661715405667226,3,-0.3,4,4.5,,
Grayson Allen,PHO,23631,ast,9.5,-110,-120,dk,,G,8,,,,closed,,,156,,3520,9.5,-106,-120,9.5,-137,36,2023-10-24 19:21:00,0,0,129,129,2,3,47,25,3,2,9.8,0.50284629412838,-0.04002071120945638,2,0.3,19,115.2,,
Kentavious Caldwell-Pope,DEN,23630,pra,2.5,-110,-115,dk,,G,3,,,,closed,,,157,,2802,2.5,-115,-115,2.5,-120,12,2023-10-20 22:11:52,0,0,19,19,4,1,39,46,6,7,2.8,0.53054631653332,0.012861149745429012,3,0.3,19,44.2,,
