player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Bobby Portis,MIL,23644,ast,8.5,-120,-102,fd,,F,9,,,,closed,,,156,,3027,8.5,-115,-110,8.5,-115,12,2023-10-26 19:12:26,2,2,152,152,4,1,62,18,4,1,11.5,0.7040073031928,0.2906800558534668,5,3.0,10,111.2,,
D'Angelo Russell,LAL,23645,ast,13.5,-120,100,fd,,G,1,,,,closed,,,156,,3013,13.5,-125,-105,13.5,-115,12,2023-10-25 22:13:25,2,2,154,154,3,2,50,21,6,2,16.5,0.66879923397544,0.22613192895497347,5,3.0,16,113.4,,
LeBron James,LAL,23645,ast,20.5,-118,-104,fd,,F,23,,,,closed,,,156,,2239,19.5,-120,-104,20.5,-110,24,2023-10-25 21:22:36,2,2,154,154,5,0,60,13,2,2,23.2,0.62760659709005,0.15947659462399055,4,2.7,16,113.4,,
Taurean Prince,LAL,23645,ast,9.5,-128,104,fd,,F,12,,,,closed,,,156,,3224,9.5,-121,-110,9.5,-130,12,2023-10-26 02:12:54,2,2,154,154,1,4,25,36,1,3,12.2,0.66485824199746,0.1842787435579757,4,2.7,16,113.4,,
Tyrese Maxey,PHI,23644,ast,22.5,-118,-104,fd,,G,0,,,,closed,,,156,,5146,22.5,-120,-104,21.5,-125,12,2023-10-24 00:12:14,2,2,152,152,4,1,51,25,6,1,20.2,0.64111924649358,0.2575800604297146,5,-2.3,21,116.1,,
Paul Reed,PHI,23644,ast,4.5,-104,-118,fd,,F,7,,,,closed,,,156,,5129,4.5,100,-125,4.5,110,12,2023-10-26 20:12:03,2,2,152,152,0,4,39,20,1,2,6.6,0.68446098537608,0.3425965482376955,5,2.1,21,116.1,,
Gabe Vincent,LAL,23645,ast,6.5,-110,-110,fd,,G,7,,,,closed,,,156,,3635,6.5,-115,-115,6.5,-120,12,2023-10-26 03:12:07,2,2,154,154,0,4,3,8,2,0,8.4,0.60499215065215,0.15498501488137717,4,1.9,16,113.4,,
Anthony Davis,LAL,23645,pra,12.5,-108,-112,fd,,F,3,,,,closed,,,157,,2746,12.5,-117,-112,12.5,-115,12,2023-10-25 22:13:26,3,3,65,65,4,1,47,35,4,3,10.6,0.73156785174888,0.3847534336675228,5,-1.9,4,41.5,,
Giannis Antetokounmpo,MIL,23644,ast,27.5,-110,-110,fd,,F,34,,,,closed,,,156,,2803,26.5,-120,-110,27.5,-110,12,2023-10-24 00:12:14,2,2,152,152,3,2,49,24,4,3,25.7,0.56536502171415,0.07933322327246828,3,-1.8,10,111.2,,
P.J. Tucker,PHI,23644,ast,3.5,-134,110,fd,,F,17,,,,closed,,,156,,2832,4.5,-115,-115,4.5,-125,12,2023-10-25 20:13:13,2,2,152,152,2,2,3,7,3,3,5.3,0.56712989006928,-0.009638848684988544,2,1.8,21,116.1,,
Eric Gordon,PHO,23645,ast,14.5,-112,-108,fd,,G,23,,,,closed,,,156,,2187,13.5,-125,-105,14.5,-105,19,2023-10-26 14:14:27,2,2,154,154,1,4,22,36,2,2,12.7,0.63797656057392,0.2286955981423645,5,-1.8,22,116.8,,
Malik Beasley,MIL,23644,ast,9.5,-102,-120,fd,,G,5,,,,closed,,,156,,3185,8.5,-135,100,8.5,-120,12,2023-10-25 20:13:14,2,2,152,152,1,3,49,34,2,1,11.2,0.64810699641369,0.28350601250554286,5,1.7,10,111.2,,
Josh Okogie,PHO,23645,ast,9.5,104,-128,fd,,G,2,,,,closed,,,156,,3511,8.5,-130,100,6.5,-135,12,2023-10-25 22:13:24,2,2,154,154,0,0,6,9,1,2,7.9,0.59815044618645,0.06545548226961401,3,-1.6,22,116.8,,
P.J. Tucker,PHI,23644,pra,3.5,-142,116,fd,,F,17,,,,closed,,,157,,2832,3.5,-145,110,3.5,-155,12,2023-10-25 20:13:13,2,2,50,50,2,2,5,5,4,2,5.1,0.74873173542212,0.2760076054376974,5,1.6,18,44.0,,
Tyrese Maxey,PHI,23644,pts,5.5,110,-134,fd,,G,0,,,,closed,,,151,,5146,4.5,-125,-105,4.5,-110,12,2023-10-24 00:12:15,2,2,100,100,5,0,55,21,3,4,4.0,0.62883693517987,0.09811823009022086,3,-1.5,19,26.7,,
Paul Reed,PHI,23644,pra,3.5,-144,118,fd,,F,7,,,,closed,,,157,,5129,3.5,-144,118,3.5,-135,12,2023-10-26 20:12:02,2,2,50,50,0,4,46,12,3,0,4.9,0.72065508816324,0.22111001049882328,5,1.4,18,44.0,,
Damian Lillard,MIL,23644,pts,7.5,108,-132,fd,,G,0,,,,closed,,,151,,2761,7.5,108,-140,6.5,-155,12,2023-10-24 00:12:14,2,2,100,100,1,4,28,49,4,1,6.2,0.7160162577922,0.2584528167256849,5,-1.3,10,25.9,,
