game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
0022300326,1610612740,NOP,New Orleans,Pelicans,15-11,112,21,29,26,36,0,0,0,0
0022300326,1610612766,CHA,Charlotte,Hornets,7-16,107,20,19,37,31,0,0,0,0
