game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
22301221,1610612763,MEM,Memphis,Grizzlies,6-15,103,31,24,24,24,0,0,0,0
22301221,1610612750,MIN,Minnesota,Timberwolves,17-4,127,33,27,38,29,0,0,0,0
