game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
22300198,1610612758,SAC,Sacramento,Kings,6-4,125,38,34,32,21,0,0,0,0
22300198,1610612747,LAL,Los Angeles,Lakers,6-6,110,25,34,21,30,0,0,0,0
