game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
22300258,1610612747,LAL,Los Angeles,Lakers,11-8,133,38,27,36,32,0,0,0,0
22300258,1610612765,DET,Detroit,Pistons,2-16,107,24,24,28,31,0,0,0,0
