game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
22300035,1610612762,UTA,Utah,Jazz,4-8,128,38,37,24,29,0,0,0,0
22300035,1610612756,PHX,Phoenix,Suns,6-6,131,41,34,27,29,0,0,0,0
