game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
22300203,1610612740,NOP,New Orleans,Pelicans,6-7,120,35,29,31,25,0,0,0,0
22300203,1610612750,MIN,Minnesota,Timberwolves,9-3,121,27,32,26,36,0,0,0,0
