GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
2023-12-13T00:00:00,4,0022300313,1610612761,TOR,Toronto,Raptors,10-14,31,33,39,32,0,0,0,0,0,0,0,0,0,0,135
2023-12-13T00:00:00,4,0022300313,1610612737,ATL,Atlanta,Hawks,9-14,39,27,29,33,0,0,0,0,0,0,0,0,0,0,128
