GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
2023-12-08T00:00:00,4,0022301219,1610612751,BKN,Brooklyn,Nets,12-9,26,24,40,34,0,0,0,0,0,0,0,0,0,0,124
2023-12-08T00:00:00,4,0022301219,1610612764,WAS,Washington,Wizards,3-18,18,29,24,26,0,0,0,0,0,0,0,0,0,0,97
