date,name,team,opponent,minutes,points,rebounds,assists,steals,blocks,turnovers,three_pt_fg,three_pt_attempts,two_pt_fg,two_pt_attempts,free_throws_made,free_throw_attempts,offensive_rebounds,defensive_rebounds,fouls,dk_points,dk_std,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,price,value,proj_own,position,roster_pos,injury,injury_notes,injury_confirmed,confirmed,site,slate,gid,pid,num_games,possessions,double_doubles,triple_doubles,timestamp,points_rebounds,points_assists,rebounds_assists,points_rebounds_assists,stocks
2024-12-06,Jonathan Isaac,ORL,PHI,17.7134,5.733,4.84533,0.868333,0.724667,1.03233,0.560333,0.680333,1.96733,1.37733,2.57067,0.937333,1.327,1.10267,3.74267,1.40433,16.7042,8.95774,10.4375,16.75,22.5,25.5,31.75,40.0025,4300,4.083860465116279,0.0466667,SF/PF,SF/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,871f4d7b-a8a4-412c-b2ac-e6cb7aa10106,3000,33.4027,0.0253333,0.0,1733517444000,10.57833,6.6013329999999995,5.7136629999999995,11.446663,1.756997
2024-12-06,Ricky Council,PHI,ORL,9.28059,3.341,1.04367,0.664667,0.180333,0.0636667,0.267333,0.292667,0.9,0.705667,1.49233,1.05167,1.32733,0.251,0.792667,0.821333,6.14325,6.1057,0.0,4.75,10.0,12.75,17.7625,24.5,4100,1.4768463414634145,0.0,SG,SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,c77dd679-6182-4224-bf5f-e94601cbb17a,3000,17.777,0.0,0.0,1733517444000,4.38467,4.005667,1.7083370000000002,5.0493369999999995,0.24399969999999999
2024-12-06,Anthony Black,ORL,PHI,23.3762,7.17967,2.62433,3.58,0.637667,0.474,1.64433,0.731,1.87767,1.892,3.507,1.20267,1.794,0.578333,2.046,2.162,17.6028,7.14451,12.75,17.5,22.0,25.0,29.5,36.0,4000,4.347375,0.0833333,PG/SG,PG/SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,9601fd77-fc04-4af8-8713-f914d6024b30,3000,44.3603,0.004,0.0,1733517444000,9.804,10.75967,6.204330000000001,13.384,1.111667
2024-12-06,Moritz Wagner,ORL,PHI,20.5792,12.307,5.287,2.016,0.714667,0.441667,1.548,0.786667,2.346,3.59433,5.478,2.75833,3.39667,1.141,4.146,1.68933,23.9613,10.039,17.0,23.5,30.5,34.5,41.0,49.25,5000,4.7192799999999995,0.109333,C/PF,C/PF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,cd58c312-06a1-4610-802b-16da2fa411e8,3000,39.2017,0.0596667,0.0,1733517444000,17.594,14.323,7.303,19.61,1.156334
2024-12-06,Kentavious Caldwell-Pope,ORL,PHI,29.9103,9.181,2.61033,2.19667,1.208,0.498,0.931333,1.527,4.11967,1.649,3.53667,1.302,1.49433,0.546333,2.064,2.35867,19.4487,7.57776,14.25,18.75,24.0625,27.25,33.0,39.0025,4500,4.398911111111111,0.056,SG,SG,,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,9c0c0664-0328-45c6-b47c-a16be81db981,3000,56.4603,0.0,0.0,1733517444000,11.791329999999999,11.377669999999998,4.807,13.988,1.706
2024-12-06,Cole Anthony,ORL,PHI,2.16686,1.35233,0.415667,0.297,0.045,0.0203333,0.202333,0.148,0.425,0.292333,0.645,0.323667,0.385667,0.11,0.305667,0.200667,2.42092,5.00549,0.0,0.0,2.5625,5.5,13.75,24.0,3700,0.6189999999999999,0.0,PG/SG,PG/SG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,5db54446-0ed8-4c0b-baca-ce8c0cb78b74,3000,4.162,0.0,0.0,1733517444000,1.767997,1.64933,0.7126669999999999,2.064997,0.0653333
2024-12-06,Tristan da Silva,ORL,PHI,16.6281,5.21767,2.418,1.719,0.388667,0.208,0.466333,0.648,1.723,1.19267,2.363,0.888333,1.14867,0.528,1.89,2.04367,12.1043,7.36152,6.75,12.0,17.0,19.5,24.75,32.25,3800,3.1635263157894737,0.004,SF,SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,3e01e4ae-ca55-4639-bb0b-3416f3e6eec5,3000,31.66,0.001,0.0,1733517444000,7.63567,6.93667,4.1370000000000005,9.35467,0.596667
2024-12-06,Andre Drummond,PHI,ORL,26.4725,10.068,10.4277,1.35433,1.68233,0.850667,1.77333,0.095,0.325333,3.98767,7.534,1.80767,3.116,2.45233,7.97533,2.348,29.8889,10.4536,22.0,29.25,37.0625,41.25,48.0,55.25,5100,5.968313725490196,0.125333,C,C,Q,,True,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,eff16438-2d85-4433-80bc-b45e4d0db37d,3000,49.8703,0.352,0.0,1733517444000,20.4957,11.422329999999999,11.782029999999999,21.85003,2.532997
2024-12-06,Jared McCain,PHI,ORL,23.851,13.986,3.02033,1.55233,0.78,0.085,1.51133,1.76967,4.751,3.09667,6.037,2.48367,2.97367,0.721667,2.29867,2.62533,21.9541,9.19366,15.5,21.5,27.75,31.5,38.25,44.7525,6400,3.2847812500000004,0.004,SG/PG,SG/PG,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,0706fa16-6fd8-4748-8c5c-a21fc01e73b9,3000,45.8057,0.00333333,0.0,1733517444000,17.006330000000002,15.53833,4.57266,18.558660000000003,0.865
2024-12-06,Jett Howard,ORL,PHI,8.35437,3.16,1.01733,0.82,0.0653333,0.170333,0.333667,0.65,1.93667,0.395667,0.763667,0.418667,0.533333,0.231333,0.786,0.607333,6.29117,6.66988,0.0,4.5,10.5,14.0,19.0,25.5025,3600,1.6622583333333334,0.0,SF,SF,,,False,False,fd,e69f068c-f0de-462d-b88b-e6dafc1bb1f1,3303ceb8-2460-4181-9e4e-99506729957a,f5079ed5-0665-4fb9-a0de-2755153761a7,3000,15.86,0.0,0.0,1733517444000,4.17733,3.98,1.8373300000000001,4.997330000000001,0.2356663
