SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1629057,0022300144,"NOV 05, 2023",POR vs. MEM,L,11,2,3,0.667,0,0,0.0,1,1,1.0,2,1,3,0,0,0,1,4,5,4,1
22023,1629057,0022300007,"NOV 03, 2023",POR vs. MEM,W,20,3,4,0.75,0,0,0.0,2,3,0.667,4,6,10,0,2,1,1,1,8,-5,1
22023,1629057,0022300115,"NOV 01, 2023",POR @ DET,W,19,2,4,0.5,0,0,0.0,2,2,1.0,0,8,8,1,0,3,1,4,6,10,1
22023,1629057,0022300098,"OCT 29, 2023",POR @ PHI,L,26,2,3,0.667,0,0,0.0,2,2,1.0,2,5,7,2,2,2,1,2,6,-6,1
22023,1629057,0022300086,"OCT 27, 2023",POR vs. ORL,L,20,3,5,0.6,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,2,6,-10,1
22023,1629057,0022300074,"OCT 25, 2023",POR @ LAC,L,23,5,7,0.714,0,0,0.0,0,1,0.0,2,5,7,0,3,1,2,4,10,-23,1
