SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631170,0022301189,"APR 14, 2024",MIA vs. TOR,W,32,6,12,0.5,0,4,0.0,6,7,0.857,0,4,4,5,1,2,1,1,18,25,1
22023,1631170,0022301176,"APR 12, 2024",MIA vs. TOR,W,32,7,15,0.467,2,4,0.5,4,4,1.0,0,4,4,9,2,1,0,5,20,26,1
22023,1631170,0022301161,"APR 10, 2024",MIA vs. DAL,L,18,2,4,0.5,2,2,1.0,0,0,0.0,0,2,2,1,0,0,1,1,6,-7,1
22023,1631170,0022301147,"APR 09, 2024",MIA @ ATL,W,22,1,2,0.5,1,1,1.0,0,0,0.0,2,2,4,1,0,0,2,2,3,-5,1
22023,1631170,0022301133,"APR 07, 2024",MIA @ IND,L,13,1,2,0.5,0,0,0.0,1,1,1.0,1,2,3,1,0,0,0,2,3,0,1
22023,1631170,0022301120,"APR 05, 2024",MIA @ HOU,W,19,5,7,0.714,2,3,0.667,0,0,0.0,1,1,2,1,2,0,1,1,12,14,1
22023,1631170,0022301111,"APR 04, 2024",MIA vs. PHI,L,20,2,5,0.4,0,2,0.0,2,3,0.667,2,2,4,3,1,2,1,1,6,25,1
22023,1631170,0022301096,"APR 02, 2024",MIA vs. NYK,W,12,1,2,0.5,0,1,0.0,1,1,1.0,0,2,2,0,1,0,2,2,3,9,1
22023,1631170,0022301081,"MAR 31, 2024",MIA @ WAS,W,19,3,5,0.6,1,2,0.5,2,2,1.0,0,1,1,2,0,1,4,0,9,2,1
22023,1631170,0022301068,"MAR 29, 2024",MIA vs. POR,W,25,6,9,0.667,0,1,0.0,0,0,0.0,0,3,3,5,1,0,0,3,12,28,1
22023,1631170,0022301044,"MAR 26, 2024",MIA vs. GSW,L,26,4,10,0.4,1,4,0.25,3,4,0.75,1,1,2,1,0,0,2,2,12,-24,1
22023,1631170,0022301013,"MAR 22, 2024",MIA vs. NOP,L,14,1,7,0.143,1,5,0.2,0,0,0.0,0,0,0,3,0,0,0,1,3,-15,1
22023,1631170,0022300996,"MAR 20, 2024",MIA @ CLE,W,31,3,5,0.6,0,1,0.0,1,1,1.0,0,1,1,2,0,0,1,4,7,-7,1
22023,1631170,0022300985,"MAR 18, 2024",MIA @ PHI,L,35,3,13,0.231,1,5,0.2,2,2,1.0,0,9,9,4,1,0,1,1,9,-2,1
22023,1631170,0022300977,"MAR 17, 2024",MIA @ DET,W,35,6,14,0.429,1,3,0.333,2,4,0.5,3,0,3,4,1,1,1,1,15,6,1
22023,1631170,0022300962,"MAR 15, 2024",MIA @ DET,W,26,1,5,0.2,0,2,0.0,0,0,0.0,0,5,5,4,1,0,0,5,2,13,1
22023,1631170,0022300949,"MAR 13, 2024",MIA vs. DEN,L,28,2,6,0.333,0,1,0.0,4,4,1.0,0,2,2,0,0,0,1,2,8,-6,1
22023,1631170,0022300926,"MAR 10, 2024",MIA vs. WAS,L,25,3,6,0.5,0,1,0.0,0,1,0.0,2,5,7,2,2,2,2,2,6,5,1
22023,1631170,0022300914,"MAR 08, 2024",MIA @ OKC,L,31,10,13,0.769,1,3,0.333,4,6,0.667,0,3,3,3,3,0,0,2,25,-9,1
22023,1631170,0022300904,"MAR 07, 2024",MIA @ DAL,L,28,4,7,0.571,3,4,0.75,2,2,1.0,0,6,6,2,1,0,0,2,13,2,1
22023,1631170,0022300888,"MAR 05, 2024",MIA vs. DET,W,27,4,7,0.571,1,2,0.5,2,2,1.0,1,5,6,2,0,0,0,1,11,-2,1
