GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022400259,1610612753,ORL,Orlando,1641783,Tristan da Silva,Tristan,F,,26.000000:07,101.4,98.1,114.5,115.4,-13.1,-17.3,0.067,0.0,14.3,0.0,0.12,0.064,0.0,0.75,0.776,0.109,0.115,95.28,96.49,80.41,53,0.119
0022400259,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,34.000000:54,92.4,92.6,115.1,117.4,-22.7,-24.7,0.333,2.0,27.3,0.0,0.2,0.095,13.6,0.455,0.549,0.222,0.228,95.26,94.21,78.51,68,0.151
0022400259,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,C,,19.000000:58,99.1,102.4,110.2,112.5,-11.1,-10.1,0.083,1.0,11.1,0.0,0.111,0.054,11.1,0.5,0.615,0.182,0.184,100.05,97.36,81.14,41,0.098
0022400259,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,29.000000:41,86.0,87.9,114.1,116.9,-28.1,-29.0,0.056,0.0,14.3,0.0,0.077,0.036,0.0,0.167,0.167,0.098,0.1,96.83,94.6,78.83,58,-0.02
0022400259,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,25.000000:03,90.3,92.3,109.8,109.4,-19.5,-17.1,0.182,0.0,13.3,0.042,0.059,0.049,0.0,0.545,0.627,0.232,0.24,101.56,100.6,83.83,52,0.148
0022400259,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,29.000000:20,93.4,95.0,100.3,96.6,-6.9,-1.6,0.571,1.33,28.6,0.0,0.0,0.0,21.4,0.6,0.609,0.313,0.322,96.45,97.36,81.14,60,0.088
0022400259,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,15.000000:07,108.0,109.4,104.2,100.0,3.9,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.114,0.12,98.69,100.02,83.35,32,0.0
0022400259,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,17.000000:00,92.9,94.3,127.5,125.7,-34.6,-31.4,0.0,0.0,0.0,0.0,0.125,0.043,16.7,0.45,0.479,0.324,0.338,98.88,98.82,82.35,35,0.063
0022400259,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,21.000000:53,88.6,89.1,100.4,97.8,-11.8,-8.6,0.0,0.0,0.0,0.045,0.133,0.081,16.7,0.6,0.6,0.12,0.127,98.84,99.8,83.17,46,0.098
0022400259,1610612753,ORL,Orlando,1641724,Jett Howard,Jett,,,11.000000:21,106.6,100.0,89.1,86.4,17.5,13.6,0.143,0.0,16.7,0.0,0.231,0.136,0.0,0.4,0.4,0.217,0.231,88.73,93.04,77.53,22,0.115
0022400259,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,,3.000000:12,119.0,100.0,66.7,57.1,52.4,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.1,105.0,87.5,7,0.0
0022400259,1610612753,ORL,Orlando,202709,Cory Joseph,Cory,,,3.000000:12,119.0,100.0,66.7,57.1,52.4,42.9,0.0,0.0,0.0,0.0,0.4,0.286,0.0,0.0,0.0,0.0,0.0,89.1,105.0,87.5,7,0.19
0022400259,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,3.000000:12,119.0,100.0,66.7,57.1,52.4,42.9,0.5,1.0,25.0,0.0,0.0,0.0,25.0,1.0,0.798,0.429,0.51,89.1,105.0,87.5,7,0.19
0022400259,1610612746,LAC,LA,1629599,Amir Coffey,Amir,F,,33.000000:21,109.8,110.6,109.6,110.6,0.2,0.0,0.05,0.5,7.1,0.0,0.143,0.074,14.3,0.8,0.827,0.176,0.175,95.75,94.97,79.14,66,0.116
