player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Dejounte Murray,NOR,25329,pa,30.5,-113,-113,fd,,G,5,,,,closed,,,338,,3199,30.5,-113,-120,25.5,-125,19,2024-11-29 06:07:57,0,0,142,142,1,4,2,4,3,0,24.0,0.72402331112313,0.3647519050374044,5,-6.5,10,181.1,,
Dejounte Murray,NOR,25329,blk,25.5,-113,-113,fd,,G,5,,,,closed,,,335,,3199,24.5,-113,-115,21.5,-125,19,2024-11-29 06:07:57,0,0,62,62,1,4,1,5,3,0,19.8,0.68643613208839,0.2939017357064344,5,-5.7,14,137.6,,
Malik Monk,SAC,25335,ast,13.5,-115,-111,fd,,G,0,,,,closed,,,156,,3313,16.5,-115,-111,13.5,-113,10,2024-11-28 22:14:09,0,0,91,91,5,0,8,8,2,2,18.2,0.58731940734923,0.09803193547899525,3,4.7,21,115.3,,
Desmond Bane,MEM,25329,blk,20.5,-122,-104,fd,,G,22,,,,closed,,,335,,5269,20.5,-115,-115,21.5,-108,10,2024-11-29 01:50:21,0,0,62,62,3,2,7,9,3,1,25.1,0.73521457973089,0.3378494811496523,5,4.6,26,145.1,,
Franz Wagner,ORL,25330,pa,37.5,-111,-115,fd,,F,22,,,,closed,,,338,,5340,37.5,-115,-115,38.5,-115,27,2024-11-28 19:15:27,0,0,45,45,3,2,12,12,2,5,32.9,0.70668559200595,0.3211948024459066,5,-4.6,18,183.3,,
Dejounte Murray,NOR,25329,to,23.5,-111,-115,fd,,G,5,,,,closed,,,336,,3199,23.5,-110,-120,20.5,-125,19,2024-11-29 06:07:57,0,0,72,72,1,4,1,5,3,0,19.0,0.68233666865091,0.275672902260397,5,-4.5,16,156.7,,
Jaylen Brown,BOS,25332,pa,34.5,-118,-108,fd,,G,7,,,,closed,,,338,,3170,34.5,-115,-115,34.5,-115,33,2024-11-28 18:11:56,0,0,63,63,3,2,12,5,1,2,38.8,0.68544075540693,0.2663227515144977,5,4.3,29,198.7,,
Jaylen Brown,BOS,25332,ast,23.5,-118,-104,fd,,G,7,,,,closed,,,156,,3170,23.5,-110,-120,23.5,-137,37,2024-11-28 05:30:10,0,0,173,173,3,2,12,5,1,2,27.7,0.69540677074048,0.28473454255444597,5,4.2,29,123.3,,
Tyler Herro,MIA,25333,pa,31.5,-122,-104,fd,,G,14,,,,closed,,,338,,4496,31.5,-120,-110,32.5,-111,10,2024-11-28 20:25:44,0,0,54,54,3,2,12,8,1,4,35.7,0.67973464707752,0.23689419386237243,5,4.2,21,185.5,,
Tyler Herro,MIA,25333,to,26.5,-120,-104,fd,,G,14,,,,closed,,,336,,4496,26.5,-110,-120,27.5,-104,10,2024-11-28 20:25:44,0,0,35,35,3,2,12,8,1,4,30.6,0.68136968192036,0.24917775018732657,5,4.1,21,159.5,,
Duncan Robinson,MIA,25333,to,13.5,-120,-106,fd,,F,55,,,,closed,,,336,,3564,14.5,-115,-115,14.5,-108,10,2024-11-28 20:25:45,0,0,35,35,1,4,4,10,2,2,17.5,0.68015516303422,0.24695113222940335,5,4.0,21,159.5,,
Desmond Bane,MEM,25329,ast,16.5,-118,-104,fd,,G,22,,,,closed,,,156,,5269,16.5,-118,-105,16.5,-128,10,2024-11-29 01:50:22,0,0,167,167,2,3,7,9,3,1,20.4,0.70914697232614,0.3101189827720213,5,3.9,24,116.4,,
Tobias Harris,DET,25334,ast,13.5,-120,-102,fd,,F,12,,,,closed,,,156,,2252,13.5,-120,-105,13.5,-120,10,2024-11-28 23:27:30,0,0,103,103,3,2,11,12,3,1,17.4,0.72378587612718,0.32694077289983015,5,3.9,26,118.2,,
Tobias Harris,DET,25334,blk,16.5,-113,-113,fd,,F,12,,,,closed,,,335,,2252,16.5,-113,-113,16.5,-113,10,2024-11-28 23:27:28,0,0,34,34,3,2,9,14,3,1,20.4,0.71623843154428,0.35007775149497034,5,3.9,23,144.6,,
Tim Hardaway,DET,25334,ast,10.5,-108,-112,fd,,G,8,,,,closed,,,156,,2783,10.5,-115,-115,11.5,-104,10,2024-11-28 23:27:29,0,0,103,103,1,4,8,13,2,2,14.3,0.72163889578874,0.3898230585560918,5,3.8,26,118.2,,
Jaylen Brown,BOS,25332,to,30.5,-111,-115,fd,,G,7,,,,closed,,,336,,3170,30.5,-111,-115,30.5,-115,33,2024-11-28 18:11:54,0,0,59,59,3,2,12,5,1,2,34.3,0.66789751091768,0.2696069802128872,5,3.8,29,169.1,,
Jalen Johnson,ATL,25328,pa,32.5,-122,-104,fd,,F,1,,,,closed,,,338,,5353,32.5,-122,-105,32.5,-106,10,2024-11-28 17:29:14,1,1,69,69,3,2,14,8,2,2,28.7,0.70945413446598,0.3916215714524993,5,-3.8,9,180.8,,
Jaylen Brown,BOS,25332,blk,28.5,-108,-120,fd,,G,7,,,,closed,,,335,,3170,27.5,-110,-120,28.5,-110,33,2024-11-28 18:15:41,1,1,66,66,3,2,12,5,1,2,32.2,0.71213999527062,0.37152887978045335,5,3.7,30,152.8,,
Tobias Harris,DET,25334,to,20.5,-113,-113,fd,,F,12,,,,closed,,,336,,2252,20.5,-115,-113,20.5,-125,10,2024-11-28 23:27:35,0,0,34,34,3,2,13,10,3,1,24.2,0.69653134330232,0.3129307621539307,5,3.7,27,161.8,,
Tobias Harris,DET,25334,pa,23.5,-106,-120,fd,,F,12,,,,closed,,,338,,2252,23.5,-110,-120,23.5,-120,10,2024-11-28 23:27:27,0,0,58,58,3,2,12,11,3,1,27.2,0.69090530771764,0.3427027678286212,5,3.7,23,188.2,,
Anthony Davis,LAL,25336,pa,43.5,-108,-118,fd,,F,3,,,,closed,,,338,,2746,43.5,-110,-118,41.5,-115,33,2024-11-28 17:28:36,0,0,33,33,1,4,11,10,3,2,39.9,0.6864982180255,0.26827636889456785,5,-3.6,6,176.3,,
James Harden,LAC,25331,ast,23.5,-104,-118,fd,,G,1,,,,closed,,,156,,2332,23.5,-110,-118,22.5,-120,33,2024-11-28 17:10:47,0,0,134,134,2,3,6,17,0,6,20.0,0.7247549419123,0.3389540452278086,5,-3.5,5,107.8,,
Myles Turner,IND,25334,to,24.5,-118,-108,fd,,C,33,,,,closed,,,336,,3020,24.5,-110,-120,24.5,-125,10,2024-11-28 23:27:34,0,0,34,34,0,5,6,15,3,3,27.9,0.67457829795972,0.24625482165439794,5,3.4,13,155.5,,
Desmond Bane,MEM,25329,pa,26.5,-111,-115,fd,,G,22,,,,closed,,,338,,5269,25.5,-115,-115,26.5,-118,10,2024-11-29 01:50:21,0,0,142,142,2,3,7,9,3,1,29.9,0.71699905610707,0.36294415169902505,5,3.4,28,190.3,,
Tyrese Haliburton,IND,25334,pa,32.5,-115,-111,fd,,G,0,,,,closed,,,338,,5082,32.5,-110,-120,31.5,-113,10,2024-11-28 23:27:31,0,0,58,58,2,3,8,15,3,3,35.9,0.65103480407884,0.21715202501696163,5,3.4,8,180.4,,
Myles Turner,IND,25334,ast,16.5,-114,-106,fd,,C,33,,,,closed,,,156,,3020,16.5,-110,-120,16.5,-111,10,2024-11-28 23:27:33,0,0,103,103,0,5,6,15,3,3,19.8,0.68265103996513,0.2814677416889282,5,3.3,16,113.1,,
Derrick White,BOS,25332,blk,21.5,-113,-113,fd,,G,9,,,,closed,,,335,,3357,20.5,-125,-105,20.5,-105,33,2024-11-28 18:11:53,1,1,66,66,4,1,15,6,3,1,24.8,0.71515390553576,0.34803346795678647,5,3.3,30,152.8,,
Tyler Herro,MIA,25333,blk,26.5,-118,-108,fd,,G,14,,,,closed,,,335,,4496,26.5,-118,-110,27.5,-104,10,2024-11-28 20:25:48,0,0,36,36,4,1,12,8,2,3,29.8,0.64323371666524,0.18834703587307045,4,3.3,22,143.0,,
Tyrese Haliburton,IND,25334,blk,28.5,-118,-108,fd,,G,0,,,,closed,,,335,,5082,28.5,-115,-115,27.5,-115,10,2024-11-28 23:27:33,0,0,34,34,2,3,9,14,4,2,31.8,0.6503814667319,0.20155220125045925,5,3.3,15,138.0,,
OG Anunoby,NYK,25327,to,22.5,-115,-111,fd,,F,8,,,,closed,,,336,,3325,22.5,-115,-111,23.5,-115,33,2024-11-28 16:13:48,1,1,41,41,1,4,10,12,1,3,19.2,0.65981823925096,0.25424908542299596,5,-3.3,11,155.5,,
Tyler Herro,MIA,25333,ast,21.5,-110,-110,fd,,G,14,,,,closed,,,156,,4496,21.5,-115,-110,21.5,-137,37,2024-11-28 04:22:44,0,0,138,138,4,1,12,8,2,3,24.7,0.64339607404804,0.22830159590989452,5,3.2,25,117.0,,
Josh Hart,NYK,25327,blk,17.5,-113,-113,fd,,G,3,,,,closed,,,335,,3345,17.5,-113,-113,18.5,-105,33,2024-11-28 16:13:46,0,0,52,52,3,2,14,8,3,1,14.3,0.71637777433698,0.35034040649359954,5,-3.2,17,138.5,,
Ivica Zubac,LAC,25331,pa,29.5,-108,-118,fd,,C,40,,,,closed,,,338,,3190,29.5,-108,-120,27.5,-125,33,2024-11-28 17:10:54,0,0,109,109,2,3,13,11,1,4,26.3,0.65976915898408,0.21889556490279172,5,-3.2,4,173.2,,
Karl-Anthony Towns,NYK,25327,ast,25.5,-118,-104,fd,,C,32,,,,closed,,,156,,3012,25.5,-118,-105,24.5,-137,37,2024-11-28 03:49:58,0,0,100,100,1,4,9,12,3,1,22.4,0.69607988409374,0.36538746495310537,5,-3.1,15,112.6,,
Josh Hart,NYK,25327,to,20.5,-113,-113,fd,,G,3,,,,closed,,,336,,3345,20.5,-113,-115,20.5,-110,33,2024-11-28 16:13:48,1,1,41,41,3,2,14,8,3,1,17.4,0.69943534676421,0.31840468018386503,5,-3.1,11,155.5,,
