player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Brandon Ingram,NOR,25140,pa,40.5,-113,-113,fd,,F,14,,,,closed,,,338,,3167,35.5,-110,-120,35.5,-105,27,2024-11-03 00:20:52,0,0,21,21,3,2,9,8,1,1,34.7,0.54989973959158,0.036536677283243724,3,-5.8,26,189.7,,
Brandon Ingram,NOR,25140,blk,34.5,-104,-122,fd,,F,14,,,,closed,,,335,,3167,29.5,-105,-122,29.5,-110,27,2024-11-03 00:20:52,0,0,13,13,3,2,9,8,1,1,29.1,0.53551872690103,-0.025531496950584764,2,-5.4,25,145.1,,
Brandon Ingram,NOR,25140,to,33.5,-115,-111,fd,,F,14,,,,closed,,,336,,3167,29.5,-115,-111,29.5,-115,27,2024-11-03 00:20:52,1,1,24,24,3,2,8,8,1,1,28.7,0.55601076985805,0.056921373333770675,3,-4.8,28,163.0,,
Brandon Ingram,NOR,25140,ast,27.5,-104,-118,fd,,F,14,,,,closed,,,156,,3167,23.5,-115,-118,23.5,-120,27,2024-11-03 00:20:52,2,2,61,61,3,2,8,8,1,1,23.1,0.55027163266092,0.016603524746445497,3,-4.4,27,118.4,,
P.J. Washington,DAL,25141,blk,11.5,-122,-104,fd,,F,25,,,,closed,,,335,,4480,11.5,-135,-104,12.5,-105,19,2024-11-03 01:19:06,1,1,26,26,4,0,11,5,0,1,15.0,0.74001580304181,0.3465861334039494,5,3.5,1,125.9,,
Tim Hardaway,DET,25139,pa,15.5,-115,-111,fd,,G,8,,,,closed,,,338,,2783,15.5,-115,-111,15.5,-137,36,2024-11-02 20:31:17,0,0,47,47,2,3,9,11,1,0,18.8,0.72928320139951,0.36344250696430125,5,3.3,18,183.3,,
Tim Hardaway,DET,25139,blk,12.5,-125,-102,fd,,G,8,,,,closed,,,335,,2783,12.5,-125,-105,12.5,-130,19,2024-11-03 01:18:52,0,0,19,19,2,3,7,12,1,0,15.6,0.7218787735525,0.2993817923944999,5,3.1,20,140.3,,
Dyson Daniels,ATL,25140,to,15.5,-102,-125,fd,,G,5,,,,closed,,,336,,5444,15.5,-120,-125,14.5,-118,10,2024-11-03 23:11:58,1,1,24,24,2,3,13,8,2,0,12.4,0.71568515975039,0.2882332875507021,5,-3.1,26,161.6,,
Franz Wagner,ORL,25141,blk,25.5,-102,-125,fd,,F,22,,,,closed,,,335,,5340,24.5,-110,-120,24.5,-120,19,2024-11-03 01:19:06,1,1,26,26,5,0,18,6,1,2,22.5,0.6387539554906,0.14975711988308005,4,-3.0,13,137.5,,
Wendell Carter,ORL,25141,to,19.5,-120,-106,fd,,C,34,,,,closed,,,336,,3472,19.5,-110,-120,20.5,-115,19,2024-11-03 01:19:04,0,0,47,47,1,4,4,7,0,2,22.5,0.67222448215364,0.23241155061500662,5,3.0,9,155.1,,
