game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22301196,2024-04-14,DAL @ OKC,L,29.0,4,14,0.286,1,4,0.25,0,0,0.0,0,4,4,3,2,0,4,5,9,-26
22301181,2024-04-12,DAL vs. DET,L,29.0,9,19,0.474,2,6,0.333,5,6,0.833,1,6,7,2,1,0,4,1,25,-11
22301161,2024-04-10,DAL @ MIA,W,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,0,4
22301144,2024-04-09,DAL @ CHA,W,13.0,1,1,1.0,0,0,0.0,1,2,0.5,1,1,2,2,1,0,2,1,3,4
22301131,2024-04-07,DAL vs. HOU,W,6.0,0,0,0.0,0,0,0.0,4,4,1.0,1,0,1,0,0,0,0,0,4,-7
22301097,2024-04-05,DAL vs. GSW,W,14.0,2,5,0.4,1,2,0.5,0,0,0.0,0,3,3,2,0,0,1,1,5,-8
22301124,2024-04-04,DAL vs. ATL,W,6.0,1,4,0.25,0,2,0.0,0,0,0.0,1,2,3,0,0,0,0,2,2,1
22300589,2024-04-02,DAL @ GSW,L,8.0,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,0,3,-8
22301083,2024-03-31,DAL @ HOU,W,16.0,3,7,0.429,2,5,0.4,0,0,0.0,0,2,2,1,0,0,2,2,8,-4
22301047,2024-03-26,DAL @ SAC,W,4.0,3,4,0.75,1,2,0.5,0,0,0.0,0,0,0,0,0,0,1,0,7,5
22301041,2024-03-25,DAL @ UTA,W,3.0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,2
22301008,2024-03-21,DAL vs. UTA,W,17.0,2,5,0.4,2,4,0.5,0,0,0.0,1,1,2,5,0,0,1,4,6,6
22300994,2024-03-19,DAL @ SAS,W,5.0,2,4,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,4,3
22300978,2024-03-17,DAL vs. DEN,W,4.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-1
22300959,2024-03-14,DAL @ OKC,L,17.0,4,10,0.4,0,0,0.0,1,1,1.0,0,2,2,5,1,0,3,1,9,0
22300952,2024-03-13,DAL vs. GSW,W,2.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-4
22300935,2024-03-11,DAL @ CHI,W,7.0,4,5,0.8,1,2,0.5,2,2,1.0,0,0,0,0,0,0,1,0,11,0
22300919,2024-03-09,DAL @ DET,W,4.0,2,4,0.5,0,0,0.0,4,4,1.0,0,1,1,1,0,0,1,0,8,-4
22300892,2024-03-05,DAL vs. IND,L,2.0,0,2,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,1
22300859,2024-03-01,DAL @ BOS,L,4.0,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-4
22300832,2024-02-27,DAL @ CLE,L,5.0,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,-11
22300819,2024-02-25,DAL @ IND,L,8.0,3,6,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,7,-2
22300796,2024-02-22,DAL vs. PHX,W,1.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
22300785,2024-02-14,DAL vs. SAS,W,20.0,6,12,0.5,1,3,0.333,0,0,0.0,0,2,2,1,0,1,0,0,13,7
22300768,2024-02-12,DAL vs. WAS,W,13.0,4,9,0.444,2,4,0.5,0,0,0.0,0,2,2,0,0,0,1,1,10,9
22300748,2024-02-10,DAL vs. OKC,W,10.0,4,5,0.8,2,3,0.667,1,2,0.5,0,0,0,3,1,0,0,1,11,-5
22300736,2024-02-08,DAL @ NYK,W,14.0,2,5,0.4,0,1,0.0,0,0,0.0,0,2,2,1,1,0,1,0,4,2
22300720,2024-02-06,DAL @ BKN,W,8.0,2,2,1.0,2,2,1.0,0,0,0.0,1,1,2,1,0,0,1,0,6,13
22300715,2024-02-05,DAL @ PHI,W,15.0,6,10,0.6,3,6,0.5,2,2,1.0,0,1,1,0,0,0,1,0,17,3
22300702,2024-02-03,DAL vs. MIL,L,11.0,1,4,0.25,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,2,4,-4
22300680,2024-01-31,DAL @ MIN,L,31.0,6,14,0.429,1,5,0.2,2,2,1.0,0,2,2,2,1,0,5,2,15,-23
22300666,2024-01-29,DAL vs. ORL,W,27.0,8,9,0.889,4,5,0.8,0,0,0.0,0,1,1,7,1,1,1,2,20,7
22300651,2024-01-27,DAL vs. SAC,L,19.0,1,7,0.143,1,5,0.2,0,0,0.0,2,3,5,7,0,0,1,2,3,-3
22300634,2024-01-26,DAL @ ATL,W,14.0,2,6,0.333,1,3,0.333,3,4,0.75,1,0,1,1,1,0,0,1,8,-10
22300625,2024-01-24,DAL vs. PHX,L,15.0,4,9,0.444,3,4,0.75,0,0,0.0,0,3,3,2,0,0,0,1,11,3
22300611,2024-01-22,DAL vs. BOS,L,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
22300577,2024-01-17,DAL @ LAL,L,20.0,3,7,0.429,1,5,0.2,0,0,0.0,0,0,0,0,0,0,1,0,7,-7
22300556,2024-01-15,DAL vs. NOP,W,15.0,2,7,0.286,1,5,0.2,0,0,0.0,1,3,4,1,0,0,0,2,5,0
22300547,2024-01-13,DAL vs. NOP,L,23.0,3,8,0.375,2,4,0.5,0,0,0.0,0,2,2,1,0,0,2,1,8,-13
22300530,2024-01-11,DAL vs. NYK,W,23.0,2,8,0.25,0,2,0.0,4,5,0.8,0,6,6,4,0,0,0,2,8,14
22300515,2024-01-09,DAL vs. MEM,L,19.0,4,7,0.571,2,4,0.5,0,0,0.0,0,0,0,1,0,0,1,2,10,-11
22300501,2024-01-07,DAL vs. MIN,W,4.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,3
22300487,2024-01-05,DAL vs. POR,W,32.0,8,14,0.571,3,7,0.429,0,0,0.0,2,7,9,9,1,0,4,2,19,11
22300472,2024-01-03,DAL vs. POR,W,11.0,4,10,0.4,1,6,0.167,2,3,0.667,0,1,1,1,0,1,0,0,11,2
22300457,2024-01-01,DAL @ UTA,L,21.0,6,15,0.4,5,9,0.556,0,0,0.0,0,3,3,1,0,0,2,0,17,-22
22300444,2023-12-30,DAL @ GSW,W,24.0,4,8,0.5,1,5,0.2,0,0,0.0,0,2,2,0,0,0,1,2,9,7
22300423,2023-12-28,DAL @ MIN,L,31.0,7,18,0.389,3,8,0.375,0,0,0.0,0,2,2,1,1,1,0,2,17,0
22300405,2023-12-25,DAL @ PHX,W,13.0,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,0,3,4
22300398,2023-12-23,DAL vs. SAS,W,22.0,1,7,0.143,1,4,0.25,3,4,0.75,0,6,6,1,3,0,0,1,6,15
22300385,2023-12-22,DAL @ HOU,L,24.0,3,17,0.176,2,12,0.167,0,0,0.0,0,2,2,4,0,0,0,5,8,-33
22300372,2023-12-20,DAL vs. LAC,L,23.0,5,13,0.385,5,9,0.556,0,0,0.0,0,2,2,1,1,0,0,3,15,1
22300356,2023-12-18,DAL @ DEN,L,19.0,3,9,0.333,2,3,0.667,1,2,0.5,0,1,1,4,0,0,1,1,9,-13
22300341,2023-12-16,DAL @ POR,W,6.0,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,4,5
22300321,2023-12-14,DAL vs. MIN,L,13.0,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,1,0,0,0,0,5,-1
22300306,2023-12-12,DAL vs. LAL,W,19.0,1,7,0.143,0,3,0.0,0,0,0.0,0,1,1,1,0,0,1,2,2,0
22300299,2023-12-11,DAL @ MEM,W,34.0,7,15,0.467,5,7,0.714,0,0,0.0,0,0,0,4,1,0,2,1,19,6
22301213,2023-12-06,DAL vs. UTA,W,8.0,3,7,0.429,2,4,0.5,0,0,0.0,2,1,3,4,0,0,1,1,8,10
22300287,2023-12-02,DAL vs. OKC,L,15.0,2,6,0.333,1,4,0.25,1,2,0.5,0,2,2,0,0,0,2,5,6,-17
22300277,2023-12-01,DAL vs. MEM,L,21.0,4,9,0.444,0,4,0.0,0,2,0.0,2,3,5,5,1,0,2,1,8,-10
22300059,2023-11-28,DAL vs. HOU,W,4.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
22300244,2023-11-25,DAL @ LAC,L,8.0,1,3,0.333,0,1,0.0,2,2,1.0,2,2,4,1,0,0,1,0,4,1
22300238,2023-11-22,DAL @ LAL,W,7.0,1,5,0.2,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,-2
22300212,2023-11-19,DAL vs. SAC,L,10.0,1,4,0.25,1,2,0.5,1,2,0.5,0,0,0,0,1,0,1,2,4,0
22300192,2023-11-15,DAL @ WAS,W,4.0,1,2,0.5,0,0,0.0,0,1,0.0,0,0,0,0,1,0,1,0,2,-3
22300022,2023-11-14,DAL @ NOP,L,18.0,4,12,0.333,0,3,0.0,1,1,1.0,0,2,2,3,1,0,1,3,9,-2
22300183,2023-11-12,DAL @ NOP,W,7.0,3,6,0.5,1,4,0.25,0,0,0.0,1,1,2,2,0,0,0,1,7,-3
22300014,2023-11-10,DAL vs. LAC,W,12.0,5,8,0.625,1,2,0.5,0,1,0.0,0,2,2,0,0,0,2,1,11,-8
22300168,2023-11-08,DAL vs. TOR,L,12.0,2,4,0.5,1,3,0.333,1,2,0.5,0,1,1,2,0,0,0,0,6,-5
22300147,2023-11-06,DAL @ ORL,W,11.0,1,5,0.2,0,3,0.0,3,4,0.75,0,1,1,1,1,0,1,0,5,2
22300143,2023-11-05,DAL vs. CHA,W,15.0,3,7,0.429,1,4,0.25,7,8,0.875,0,4,4,0,0,0,0,1,14,9
22300006,2023-11-03,DAL @ DEN,L,14.0,2,6,0.333,2,4,0.5,0,0,0.0,1,2,3,3,0,0,0,2,6,8
22300124,2023-11-01,DAL vs. CHI,W,14.0,3,7,0.429,1,2,0.5,2,2,1.0,0,1,1,1,0,0,0,0,9,6
22300106,2023-10-30,DAL @ MEM,W,10.0,2,6,0.333,2,4,0.5,0,0,0.0,0,0,0,1,0,0,1,1,6,-7
