game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22301199,2024-04-14,HOU @ LAC,W,5.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,1,0,1,0,-1
22301150,2024-04-09,HOU vs. ORL,W,1.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2
22301120,2024-04-05,HOU vs. MIA,L,1.0,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1
22300709,2024-02-04,HOU @ MIN,L,4.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,4,7
22300692,2024-02-02,HOU vs. TOR,W,4.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,1
22300679,2024-01-31,HOU vs. NOP,L,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2
22300662,2024-01-29,HOU vs. LAL,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-3
22300635,2024-01-26,HOU @ CHA,W,6.0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-5
22300385,2023-12-22,HOU vs. DAL,W,9.0,3,3,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,6,-5
22300291,2023-12-02,HOU @ LAL,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,8
22300263,2023-11-29,HOU @ DEN,L,6.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,6
22300153,2023-11-06,HOU vs. SAC,W,12.0,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,1,4,-12
22300137,2023-11-04,HOU vs. SAC,W,1.0,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,1,2,0
22300066,2023-10-25,HOU @ ORL,L,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-10
