game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22301189,2024-04-14,TOR @ MIA,L,33.0,4,11,0.364,0,3,0.0,2,3,0.667,4,2,6,2,2,1,4,3,10,1
22301176,2024-04-12,TOR @ MIA,L,25.0,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,2,1,1,0,1,7,-28
22301160,2024-04-10,TOR @ BKN,L,34.0,3,6,0.5,0,1,0.0,1,1,1.0,0,1,1,1,0,0,0,1,7,-4
22301146,2024-04-09,TOR vs. IND,L,29.0,0,6,0.0,0,2,0.0,2,2,1.0,1,2,3,1,0,3,1,3,2,-7
22301137,2024-04-07,TOR vs. WAS,W,28.0,3,7,0.429,0,3,0.0,3,6,0.5,0,3,3,1,1,1,0,3,9,17
22301122,2024-04-05,TOR @ MIL,W,35.0,1,2,0.5,0,0,0.0,1,2,0.5,3,5,8,3,1,0,4,4,3,20
22301053,2024-03-27,TOR vs. NYK,L,5.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,0,0,-8
22301036,2024-03-25,TOR vs. BKN,L,31.0,5,11,0.455,1,2,0.5,0,0,0.0,3,2,5,1,1,1,0,1,11,-10
22301022,2024-03-23,TOR @ WAS,L,32.0,6,12,0.5,0,5,0.0,0,3,0.0,5,4,9,2,1,2,1,0,12,-2
22301012,2024-03-22,TOR vs. OKC,L,32.0,4,10,0.4,1,5,0.2,3,4,0.75,2,5,7,6,3,0,2,3,12,-13
22300999,2024-03-20,TOR vs. SAC,L,30.0,5,10,0.5,2,4,0.5,1,2,0.5,2,1,3,1,3,0,2,2,13,-18
22300979,2024-03-17,TOR @ ORL,L,31.0,4,10,0.4,1,3,0.333,0,0,0.0,4,3,7,1,0,0,2,2,9,-18
22300963,2024-03-15,TOR vs. ORL,L,34.0,4,9,0.444,0,3,0.0,0,0,0.0,2,2,4,0,0,0,2,4,8,-8
22300946,2024-03-13,TOR @ DET,L,26.0,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,3,2,0,1,2,0,-8
22300937,2024-03-11,TOR @ DEN,L,29.0,4,7,0.571,0,0,0.0,0,1,0.0,1,1,2,1,0,2,0,5,8,-8
22300923,2024-03-09,TOR @ POR,L,22.0,2,7,0.286,1,4,0.25,2,2,1.0,0,1,1,1,1,0,0,0,7,-9
22300905,2024-03-07,TOR @ PHX,L,24.0,1,6,0.167,0,1,0.0,1,2,0.5,1,3,4,1,1,0,2,4,3,-8
22300890,2024-03-05,TOR vs. NOP,L,16.0,1,4,0.25,1,3,0.333,0,0,0.0,1,2,3,0,0,0,0,0,3,-14
22300875,2024-03-03,TOR vs. CHA,W,33.0,6,20,0.3,1,7,0.143,0,1,0.0,4,5,9,1,0,2,0,2,13,14
22300860,2024-03-01,TOR vs. GSW,L,10.0,1,3,0.333,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-18
22300844,2024-02-28,TOR vs. DAL,L,8.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,1,3,0,-11
22300829,2024-02-26,TOR @ IND,W,20.0,4,7,0.571,1,2,0.5,4,4,1.0,0,2,2,2,0,0,0,0,13,9
22300804,2024-02-23,TOR @ ATL,W,17.0,5,6,0.833,4,5,0.8,0,0,0.0,2,2,4,0,1,1,3,4,14,13
22300795,2024-02-22,TOR vs. BKN,W,14.0,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,2,1,1,1,0,2,-6
22300782,2024-02-14,TOR vs. IND,L,5.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1,0,0,1,0,3,2
