date,name,team,opponent,minutes,points,rebounds,assists,steals,blocks,turnovers,three_pt_fg,three_pt_attempts,two_pt_fg,two_pt_attempts,free_throws_made,free_throw_attempts,offensive_rebounds,defensive_rebounds,fouls,dk_points,dk_std,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,price,value,proj_own,position,roster_pos,injury,injury_notes,injury_confirmed,confirmed,site,slate,gid,pid,num_games,possessions,double_doubles,triple_doubles,timestamp,points_rebounds,points_assists,rebounds_assists,points_rebounds_assists,stocks
,Reggie Jackson,PHI,CHA,4.00128,1.676,0.444667,0.505333,0.101333,0.0313333,0.234667,0.193333,0.584,0.426667,0.896667,0.242667,0.281333,0.0926667,0.352,0.338667,3.2345,4.91773,0.0,0.75,5.0,7.75,14.0125,20.2525,3700,0.8461972972972974,0.0,PG,PG,GTD,,False,False,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,3712e9a0-5ea4-4f3c-b586-7c0f9ea82ab7,1500,7.50667,0.0,0.0,1733281845000,2.120667,2.181333,0.95,2.6260000000000003,0.13266630000000001
,Jared McCain,PHI,CHA,22.8485,15.8393,3.33867,1.492,0.723333,0.211333,1.63067,2.054,4.90067,3.66067,6.23467,2.356,2.84467,0.716667,2.622,2.458,24.3357,9.82069,17.75,24.0,30.75,34.0375,41.0125,48.01,6200,3.751145161290323,0.0126667,SG/PG,SG/PG,,,False,False,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,0706fa16-6fd8-4748-8c5c-a21fc01e73b9,1500,43.3827,0.00266667,0.0,1733281845000,19.17797,17.3313,4.83067,20.66997,0.934666
,Ricky Council,PHI,CHA,3.03208,1.74733,0.582,0.192667,0.0413333,0.0326667,0.154,0.175333,0.442667,0.341333,0.636,0.538667,0.682,0.122,0.46,0.278667,2.9235,4.81157,0.0,0.0,4.25,7.0,13.0,21.7525,4400,0.6369840909090909,0.0,SG,SG,,,False,False,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,c77dd679-6182-4224-bf5f-e94601cbb17a,1500,5.84867,0.000666667,0.0,1733281845000,2.32933,1.939997,0.774667,2.5219970000000003,0.07400000000000001
,KJ Martin,PHI,CHA,26.2853,5.97933,4.152,1.814,0.465333,0.842667,0.485333,0.335333,0.933333,2.08067,3.16133,0.812,1.22,0.814667,3.33733,2.13,16.4433,7.27747,11.25,15.5,20.75,24.0375,29.25,37.5,4700,3.6428510638297875,0.0,PF,PF,,,True,True,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,afe5dc05-a727-485d-9501-70d9d75062ad,1500,48.41,0.008,0.0,1733281845000,10.13133,7.79333,5.966,11.94533,1.308
,Vasilije Micic,CHA,PHI,31.4192,13.5007,2.88,7.01733,1.00267,0.242667,2.94,1.53,4.90867,3.39067,6.28133,2.12933,2.61467,0.666,2.214,2.14533,29.6363,10.1098,22.25,29.25,36.25,40.25,47.0,54.25,5100,5.544843137254902,0.13,PG,PG,,,True,True,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,d48b57c8-ea08-47e3-bc63-9c0e06bdcb4b,1500,58.956,0.149333,0.0,1733281845000,16.3807,20.51803,9.89733,23.398030000000002,1.245337
,Guerschon Yabusele,PHI,CHA,28.9898,10.8567,6.87933,2.32667,0.79,0.618,1.076,1.87067,4.61067,1.928,3.07533,1.38867,1.716,1.47533,5.404,2.88733,26.3602,9.84377,19.1875,25.5,33.0,36.75,44.25,51.255,5700,4.517526315789474,0.0273333,PF,PF,,,True,True,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,c9b3cbbe-1e2a-4e9c-aec6-b3bf848c5da9,1500,53.8953,0.134,0.0,1733281845000,17.73603,13.18337,9.206,20.0627,1.408
,KJ Simpson,CHA,PHI,15.6906,5.71067,2.12933,1.684,0.595333,0.169333,1.08933,0.698667,2.24,1.07,2.12867,1.47467,1.828,0.546667,1.58267,1.46,12.2333,7.72793,6.5,12.0,17.25,20.5,25.5,31.0025,3700,3.242297297297297,0.0,PG,PG,,,False,False,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,41783e0d-5404-409a-a5b7-f4c37b2b95f9,1500,29.3727,0.000666667,0.0,1733281845000,7.84,7.3946700000000005,3.8133299999999997,9.524,0.7646660000000001
,Nick Richards,CHA,PHI,24.94,11.248,8.036,1.00733,0.666,1.11933,1.16067,0.106667,0.282,4.188,6.306,2.552,3.43533,1.83267,6.20333,2.08067,26.1757,9.41927,19.25,25.25,32.25,36.5,43.25,50.25,5800,4.5857758620689655,0.0113333,C,C,,,True,True,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,0dcd4690-76ef-4298-8a72-cd0655e53ac2,1500,46.924,0.218667,0.0,1733281845000,19.284,12.255329999999999,9.04333,20.29133,1.78533
,Brandon Miller,CHA,PHI,39.4433,26.3893,5.83467,3.87133,1.24067,0.731333,2.84133,3.948,10.672,5.446,10.8047,3.65333,4.444,1.368,4.46667,3.89,44.096,12.0324,36.25,44.0,52.0,56.75,64.5,70.75,8400,5.032452380952381,0.217333,SG/SF,SG/SF,,,True,True,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,1c8c7d75-fc8a-4e6a-ba2a-621a77f04dac,1500,73.824,0.0713333,0.000666667,1733281845000,32.22397,30.26063,9.706,36.0953,1.972003
,Seth Curry,CHA,PHI,7.8576,2.87,0.776,0.934,0.308667,0.05,0.285333,0.452,1.294,0.564,1.082,0.386,0.438,0.17,0.606,0.558667,6.04167,6.31537,0.0,4.5,9.75,13.0,18.75,24.005,3600,1.664686111111111,0.0,SG,SG,,,False,False,fd,ad282c29-638c-4bab-a93f-236ca2453582,20e605dc-1bfd-42f0-8366-452cad3ca70f,2bc7c994-1c9d-4df3-8c84-cb33b980a115,1500,14.7333,0.0,0.0,1733281845000,3.646,3.8040000000000003,1.71,4.58,0.358667
