game_id,team_id,team,team_city,team_name,record,points,points_q1,points_q2,points_q3,points_q4,points_ot1,points_ot2,points_ot3,points_ot4
22400333,1610612753,ORL,Orlando,Magic,16-9,94,27,14,18,35,0,0,0,0
22400333,1610612755,PHI,Philadelphia,76ers,6-15,102,25,25,21,31,0,0,0,0
