game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22400052,2024-12-03,DET vs. MIL,L,14.0,4,6,0.667,0,0,0.0,0,0,0.0,2,3,5,1,0,1,2,2,8,0
22400301,2024-11-30,DET vs. PHI,L,14.0,4,5,0.8,1,2,0.5,0,1,0.0,2,0,2,1,0,2,2,1,9,-4
22400045,2024-11-29,DET @ IND,W,12.0,1,5,0.2,1,3,0.333,2,2,1.0,0,1,1,4,1,0,2,0,5,11
22400293,2024-11-27,DET @ MEM,L,20.0,1,5,0.2,0,1,0.0,1,4,0.25,2,2,4,4,1,0,1,4,3,-6
22400278,2024-11-25,DET vs. TOR,W,16.0,2,8,0.25,1,3,0.333,0,0,0.0,0,3,3,4,0,0,1,4,5,-9
