game_id,game_date,matchup,win_loss,minutes,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,plus_minus
22400345,2024-12-07,MEM @ BOS,W,17.0,1,2,0.5,0,1,0.0,0,2,0.0,0,2,2,2,0,0,1,2,2,2
22400329,2024-12-05,MEM vs. SAC,W,15.0,2,9,0.222,0,4,0.0,0,0,0.0,0,1,1,3,0,0,1,1,4,10
22400056,2024-12-03,MEM @ DAL,L,17.0,2,6,0.333,1,2,0.5,0,0,0.0,1,3,4,4,2,0,2,3,5,6
22400306,2024-12-01,MEM vs. IND,W,11.0,2,7,0.286,0,4,0.0,0,0,0.0,1,0,1,2,0,0,2,1,4,-2
22400042,2024-11-29,MEM vs. NOP,W,14.0,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,4,1,0,1,4,2,-11
22400293,2024-11-27,MEM vs. DET,W,31.0,9,12,0.75,1,2,0.5,0,1,0.0,0,7,7,4,3,0,2,2,19,13
22400282,2024-11-25,MEM vs. POR,W,14.0,1,4,0.25,0,1,0.0,1,2,0.5,2,2,4,4,1,1,0,1,3,10
22400266,2024-11-23,MEM @ CHI,W,31.0,13,16,0.813,3,6,0.5,1,1,1.0,0,2,2,10,0,0,4,2,30,-4
22400255,2024-11-20,MEM vs. PHI,W,26.0,3,10,0.3,2,4,0.5,0,0,0.0,0,4,4,3,0,0,1,3,8,-1
22400023,2024-11-19,MEM vs. DEN,L,25.0,5,11,0.455,0,2,0.0,6,10,0.6,3,3,6,6,1,1,1,1,16,-14
22400238,2024-11-17,MEM vs. DEN,W,26.0,3,12,0.25,2,7,0.286,2,2,1.0,2,1,3,4,4,0,2,3,10,12
22400019,2024-11-15,MEM @ GSW,L,22.0,0,6,0.0,0,2,0.0,3,3,1.0,0,2,2,4,0,0,0,1,3,-23
22400225,2024-11-13,MEM @ LAL,L,32.0,6,14,0.429,1,2,0.5,2,2,1.0,0,3,3,3,3,1,2,3,15,-10
22400210,2024-11-10,MEM @ POR,W,21.0,6,8,0.75,2,3,0.667,3,4,0.75,0,4,4,2,0,1,3,2,17,17
22400191,2024-11-08,MEM vs. WAS,W,28.0,4,8,0.5,0,2,0.0,3,4,0.75,1,9,10,11,1,0,2,3,11,21
22400174,2024-11-06,MEM vs. LAL,W,26.0,5,9,0.556,3,4,0.75,1,2,0.5,1,5,6,4,1,1,4,3,14,8
22400158,2024-11-04,MEM @ BKN,L,31.0,6,13,0.462,2,6,0.333,0,0,0.0,0,4,4,3,0,0,2,5,14,0
22400142,2024-11-02,MEM @ PHI,W,29.0,4,9,0.444,1,2,0.5,3,3,1.0,0,4,4,13,1,0,2,3,12,9
22400128,2024-10-31,MEM vs. MIL,W,27.0,5,8,0.625,1,3,0.333,5,5,1.0,0,3,3,1,1,0,3,2,16,9
22400124,2024-10-30,MEM vs. BKN,L,20.0,1,4,0.25,0,2,0.0,3,3,1.0,0,0,0,4,1,0,3,4,5,-19
22400108,2024-10-28,MEM vs. CHI,L,31.0,6,13,0.462,2,4,0.5,0,0,0.0,1,3,4,10,1,1,1,4,14,-17
22400092,2024-10-26,MEM vs. ORL,W,23.0,5,7,0.714,1,1,1.0,0,0,0.0,2,3,5,12,2,1,5,5,11,6
22400082,2024-10-25,MEM @ HOU,L,24.0,4,9,0.444,2,3,0.667,3,4,0.75,0,3,3,4,0,0,1,2,13,-13
22400070,2024-10-23,MEM @ UTA,W,22.0,3,6,0.5,0,2,0.0,0,2,0.0,1,2,3,7,3,1,2,3,6,5
