player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Victor Wembanyama,SAS,25118,blk,26.5,-120,-106,fd,,C,1,,,,closed,,,335,,5971,27.5,-120,-106,27.5,-130,19,2024-10-31 07:14:58,0,0,16,16,3,2,8,10,2,4,32.0,0.69323605423991,0.27093276610650163,5,5.5,28,146.7,,
Victor Wembanyama,SAS,25118,pa,38.5,-113,-113,fd,,C,1,,,,closed,,,338,,5971,38.5,-113,-113,39.5,-120,19,2024-10-31 07:15:00,1,1,56,56,3,2,10,7,3,3,43.4,0.69630362477584,0.3125015228075567,5,4.9,25,188.8,,
Victor Wembanyama,SAS,25118,to,34.5,-113,-113,fd,,C,1,,,,closed,,,336,,5971,34.5,-115,-113,35.5,-110,19,2024-10-31 07:15:00,1,1,22,22,2,3,8,10,2,4,38.4,0.65719029363958,0.2387746242940757,5,3.9,24,160.6,,
James Harden,LAC,25119,to,30.5,-104,-122,fd,,G,1,,,,closed,,,336,,2332,29.5,-120,-110,28.5,-115,19,2024-10-31 08:14:54,3,3,45,45,2,3,7,17,2,2,26.6,0.67907811629889,0.23569952310125897,5,-3.9,19,157.6,,
Victor Wembanyama,SAS,25118,ast,23.5,-102,-120,fd,,C,1,,,,closed,,,156,,5971,23.5,-105,-120,23.5,-120,19,2024-10-31 07:14:58,1,1,108,108,3,2,10,7,3,3,27.0,0.65005496999449,0.28736376410673503,5,3.5,28,118.6,,
Stephon Castle,SAS,25118,blk,9.5,-125,-102,fd,,G,5,,,,closed,,,335,,6160,9.5,-125,-105,10.5,100,19,2024-10-31 20:17:04,0,0,16,16,4,1,14,6,3,1,13.0,0.74936621495389,0.348859186917002,5,3.5,28,146.7,,
Kevin Durant,PHO,25119,pa,36.5,-118,-108,fd,,F,35,,,,closed,,,338,,2331,36.5,-120,-108,36.5,-110,19,2024-10-31 08:14:53,1,1,66,66,1,4,6,7,1,4,39.8,0.63166125054784,0.16696739507990765,4,3.3,3,173.1,,
Chris Paul,SAS,25118,pa,20.5,-115,-111,fd,,G,3,,,,closed,,,338,,2307,20.5,-120,-110,19.5,-130,19,2024-10-31 07:15:00,1,1,56,56,2,3,11,11,3,3,23.7,0.69370508169458,0.29692689186377996,5,3.2,25,188.8,,
Jaren Jackson,MEM,25116,ast,18.5,-118,-104,fd,,F,13,,,,closed,,,156,,3467,19.5,-118,-110,19.5,-120,19,2024-10-31 18:18:26,0,0,100,100,2,3,13,7,1,1,21.5,0.59758772547249,0.10401800129663397,4,3.0,14,112.5,,
James Harden,LAC,25119,pa,39.5,-120,-106,fd,,G,1,,,,closed,,,338,,2332,39.5,-110,-120,38.5,-120,19,2024-10-31 08:14:54,1,1,66,66,2,3,7,16,2,2,36.6,0.66378773466835,0.29000257869509516,5,-2.9,20,184.1,,
Jaren Jackson,MEM,25116,to,24.5,-113,-113,fd,,F,13,,,,closed,,,336,,3467,24.5,-120,-113,24.5,-120,19,2024-10-31 18:18:24,0,0,39,39,2,3,15,5,1,1,27.2,0.63648799274265,0.19975170313437574,4,2.7,20,158.0,,
Chris Paul,SAS,25118,ast,8.5,-114,-106,fd,,G,3,,,,closed,,,156,,2307,8.5,-114,-106,8.5,-135,19,2024-10-31 07:15:00,1,1,108,108,2,2,15,6,4,2,11.1,0.67917753596403,0.2749473043535299,5,2.6,28,118.6,,
James Harden,LAC,25119,ast,23.5,-114,-106,fd,,G,1,,,,closed,,,156,,2332,23.5,-114,-110,23.5,-110,19,2024-10-31 08:14:53,0,0,138,138,2,3,6,17,2,2,20.9,0.67462647466157,0.31106654509701337,5,-2.6,18,113.5,,
James Harden,LAC,25119,blk,33.5,-113,-113,fd,,G,1,,,,closed,,,335,,2332,33.5,-113,-113,33.5,-110,19,2024-10-31 08:14:54,0,0,12,12,2,3,6,18,2,2,30.9,0.65785643768409,0.24003027634257668,5,-2.6,19,140.0,,
P.J. Washington,DAL,25117,ast,10.5,-114,-106,fd,,F,25,,,,closed,,,156,,4480,10.5,-114,-106,11.5,-105,19,2024-10-30 23:20:59,8,8,140,140,3,1,10,6,3,1,13.0,0.64788537297511,0.2162058755848555,5,2.5,3,106.6,,
Chris Paul,SAS,25118,blk,17.5,100,-128,fd,,G,3,,,,closed,,,335,,2307,17.5,-105,-125,16.5,-110,19,2024-10-31 07:15:00,0,0,16,16,3,2,13,9,4,2,20.0,0.65753058165369,0.3150611633073801,5,2.5,28,146.7,,
Kevin Durant,PHO,25119,blk,30.5,-106,-120,fd,,F,35,,,,closed,,,335,,2331,30.5,-106,-120,29.5,-120,19,2024-10-31 08:14:52,0,0,12,12,1,4,6,7,1,4,33.0,0.5979875246679,0.16212669888289988,4,2.5,5,131.9,,
P.J. Washington,DAL,25117,to,16.5,-125,-102,fd,,F,25,,,,closed,,,336,,4480,16.5,-125,-105,17.5,-115,19,2024-10-30 23:20:59,1,1,50,50,4,0,11,5,3,1,19.0,0.65106541908557,0.17191775435402612,4,2.5,5,151.3,,
Ja Morant,MEM,25116,pa,34.5,-111,-115,fd,,G,12,,,,closed,,,338,,4469,34.5,-115,-115,30.5,-125,19,2024-10-31 05:13:52,2,2,51,51,3,2,7,6,1,0,32.0,0.54468753602205,0.018328871693397808,3,-2.5,19,183.5,,
Norman Powell,LAC,25119,ast,19.5,-114,-106,fd,,G,24,,,,closed,,,156,,3073,19.5,-114,-115,19.5,-110,19,2024-10-31 08:14:55,0,0,138,138,2,2,11,4,1,4,17.1,0.66922469096413,0.3005687390434978,5,-2.4,18,113.5,,
Julian Champagnie,SAS,25118,ast,9.5,-110,-110,fd,,F,30,,,,closed,,,156,,5498,9.5,-120,-110,9.5,-110,19,2024-10-31 07:14:59,1,1,108,108,4,1,14,7,3,3,11.8,0.65536435090242,0.25115012445007445,5,2.3,28,118.6,,
Ja Morant,MEM,25116,blk,29.5,-111,-115,fd,,G,12,,,,closed,,,335,,4469,29.5,-111,-115,25.5,-120,19,2024-10-31 05:13:52,0,0,13,13,3,1,6,5,1,0,27.2,0.55583541944955,0.03917056679698466,3,-2.3,16,138.0,,
Kyrie Irving,DAL,25117,to,27.5,-113,-113,fd,,G,11,,,,closed,,,336,,2074,27.5,-113,-115,27.5,-125,19,2024-10-30 23:20:58,1,1,50,50,4,1,12,9,3,1,29.8,0.59395588261415,0.11958055749392882,4,2.3,5,151.3,,
Chris Paul,SAS,25118,to,12.5,-106,-120,fd,,G,3,,,,closed,,,336,,2307,12.5,-106,-120,12.5,-120,19,2024-10-31 07:15:00,1,1,22,22,3,2,13,9,4,2,14.8,0.6529626770224,0.26896520251523015,5,2.3,24,160.6,,
Giannis Antetokounmpo,MIL,25116,to,40.5,-113,-113,fd,,F,34,,,,closed,,,336,,2803,40.5,-113,-113,40.5,-110,19,2024-10-31 05:13:51,0,0,39,39,3,1,10,8,1,2,42.7,0.58771700508443,0.10782054940693453,4,2.2,16,156.7,,
Jabari Smith,HOU,25117,to,18.5,-113,-113,fd,,F,10,,,,closed,,,336,,5482,18.5,-113,-113,17.5,-125,19,2024-10-30 23:20:53,1,1,50,50,2,3,10,13,5,0,20.7,0.64373375118845,0.21340963719592787,5,2.2,9,155.1,,
Walker Kessler,UTH,25118,to,18.5,-111,-115,fd,,C,24,,,,closed,,,336,,5537,18.5,-111,-110,18.5,-102,10,2024-11-01 00:12:32,1,1,22,22,4,1,9,6,0,4,16.3,0.68526989466221,0.28115675958587083,5,-2.2,16,156.7,,
Kevin Durant,PHO,25119,pr,9.5,-118,-108,fd,,F,35,,,,closed,,,337,,2331,9.5,-125,-105,9.5,-115,19,2024-10-31 08:14:52,1,1,34,34,2,3,8,5,1,4,11.7,0.73041694031131,0.34941434735479304,5,2.2,4,66.2,,
Kyle Filipowski,UTH,25118,pra,6.5,112,-138,fd,,F,22,,,,closed,,,157,,6185,5.5,-125,-105,6.5,128,10,2024-11-01 00:12:30,0,0,35,35,3,2,4,4,1,1,4.4,0.7199115200092,0.24158653450862033,5,-2.1,18,44.6,,
Jeremy Sochan,SAS,25118,to,23.5,-108,-118,fd,,F,10,,,,closed,,,336,,5494,23.5,-110,-118,24.5,-115,19,2024-10-31 07:14:58,1,1,22,22,3,2,7,2,2,2,21.4,0.60289165787269,0.1138167916631051,4,-2.1,24,160.6,,
Giannis Antetokounmpo,MIL,25116,ast,28.5,-110,-110,fd,,F,34,,,,closed,,,156,,2803,28.5,-110,-110,28.5,-110,19,2024-10-31 05:13:50,0,0,100,100,4,1,12,7,2,1,30.5,0.5845617960795,0.11598161069722723,4,2.0,17,113.1,,
Kyrie Irving,DAL,25117,pa,32.5,-113,-113,fd,,G,11,,,,closed,,,338,,2074,32.5,-113,-115,33.5,-137,36,2024-10-30 20:31:44,4,4,106,106,3,2,11,10,4,0,34.5,0.57635052760704,0.08639524230353557,3,2.0,2,173.1,,
Taurean Prince,MIL,25116,ast,8.5,104,-128,fd,,F,12,,,,closed,,,156,,3224,8.5,-115,-120,8.5,100,19,2024-10-31 05:13:48,0,0,100,100,3,1,11,9,1,2,10.4,0.62207243951853,0.2690277766178012,5,1.9,17,113.1,,
Taurean Prince,MIL,25116,to,12.5,-111,-115,fd,,F,12,,,,closed,,,336,,3224,12.5,-125,-105,12.5,-105,19,2024-10-31 05:13:48,0,0,39,39,4,1,12,9,0,3,14.3,0.616076465592,0.17110030846767577,4,1.8,16,156.7,,
Jabari Smith,HOU,25117,ast,11.5,100,-122,fd,,F,10,,,,closed,,,156,,5482,11.5,-105,-122,10.5,-137,36,2024-10-30 20:31:45,8,8,140,140,2,3,10,13,5,0,13.1,0.58248184930049,0.16496369860097992,4,1.6,10,111.1,,
Kyle Filipowski,UTH,25118,ast,9.5,-118,-104,fd,,F,22,,,,closed,,,156,,6185,9.5,-118,-104,9.5,-115,10,2024-11-01 00:12:30,1,1,108,108,2,3,3,5,1,1,7.9,0.685398918038,0.3444363392283847,5,-1.6,13,112.1,,
