player,team,game_id,prop_type,line,over_odds,under_odds,sportsbook,player_id,player_position,player_jersey,opponent,game_date,game_time,event_status,home_team,away_team,market_id,market_name,participant_id,consensus_line,consensus_over_odds,consensus_under_odds,opening_line,opening_odds,opening_book,opening_time,expert_over_picks,expert_under_picks,system_over_picks,system_under_picks,last_5_over,last_5_under,season_over,season_under,h2h_over,h2h_under,projected_value,projected_probability,projected_ev,bet_rating,line_diff,opp_rank,opp_value,timestamp,url
Jamal Murray,DEN,25094,pa,30.5,-111,-115,fd,,G,27,,,,closed,,,338,,3171,30.5,-105,-125,30.5,-105,19,2024-10-28 00:17:51,2,2,117,117,2,3,4,12,3,0,35.7,0.73127223286149,0.39007604625021974,5,5.2,21,185.5,,
Kevin Durant,PHO,25100,pa,35.5,-113,-113,fd,,F,35,,,,closed,,,338,,2331,35.5,-120,-110,34.5,-120,19,2024-10-28 05:16:13,0,0,100,100,1,4,6,7,4,3,40.3,0.69725425500156,0.3142934187197548,5,4.8,24,188.7,,
Bradley Beal,PHO,25100,ast,16.5,-114,-106,fd,,G,3,,,,closed,,,156,,2735,16.5,-114,-110,16.5,-120,19,2024-10-28 05:16:13,0,0,118,118,4,1,7,6,2,2,21.1,0.7434289751843,0.39555965517052794,5,4.6,22,115.7,,
Jamal Murray,DEN,25094,blk,26.5,-113,-113,fd,,G,27,,,,closed,,,335,,3171,26.5,-113,-125,26.5,-110,19,2024-10-28 00:17:51,0,0,40,40,2,3,5,10,1,2,31.1,0.71153452298677,0.3412110920016107,5,4.6,22,143.0,,
Davion Mitchell,TOR,25094,to,11.5,102,-130,fd,,G,45,,,,closed,,,336,,5332,11.5,-110,-120,11.5,-125,19,2024-10-28 00:17:50,0,0,55,55,0,3,6,14,2,1,6.9,0.77559855664348,0.37221283098461844,5,-4.6,25,160.7,,
Desmond Bane,MEM,25097,pa,33.5,-108,-118,fd,,G,22,,,,closed,,,338,,5269,33.5,-110,-118,28.5,-110,19,2024-10-27 21:19:18,0,0,96,96,0,5,2,14,1,1,29.0,0.72368956225575,0.33698580145553814,5,-4.5,29,198.7,,
Gary Trent,MIL,25093,ast,10.5,-128,104,fd,,G,5,,,,closed,,,156,,3535,10.5,-120,-110,10.5,-115,19,2024-10-28 03:15:39,2,2,108,108,3,2,6,10,0,1,14.9,0.7660527834185,0.36453152046420323,5,4.4,8,109.9,,
Jabari Smith,HOU,25096,to,18.5,-122,-104,fd,,F,10,,,,closed,,,336,,5482,18.5,-125,-105,19.5,-105,19,2024-10-27 21:19:21,0,0,46,46,2,3,10,13,4,3,22.9,0.74489637524604,0.35546717462804,5,4.4,16,156.7,,
Tyler Herro,MIA,25091,pa,26.5,-118,-108,fd,,G,14,,,,closed,,,338,,4496,27.5,-118,-110,27.5,-137,36,2024-10-27 20:23:49,1,1,107,107,5,0,18,2,2,1,30.9,0.64431256867521,0.19034016924742192,4,4.4,8,180.4,,
Alperen Sengun,HOU,25096,blk,21.5,-125,-102,fd,,C,28,,,,closed,,,335,,5384,21.5,-115,-115,20.5,-105,19,2024-10-27 21:19:22,0,0,26,26,4,1,13,10,2,4,25.7,0.72602879434089,0.30685182981360193,5,4.2,12,137.5,,
