GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NICKNAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS
2023-11-19T00:00:00,1,0022300208,1610612751,BKN,Brooklyn,Nets,6-7,22,27,22,28,0,0,0,0,0,0,0,0,0,0,99
2023-11-19T00:00:00,1,0022300208,1610612755,PHI,Philadelphia,76ers,10-3,23,38,33,27,0,0,0,0,0,0,0,0,0,0,121
